Transaction_ID,Order_Date,Customer_Reference_ID,Item_SKU,Quantity_Purchased,Total_Revenue_Logged,Marketing_Channel,Time_to_Ship_Days,Refund_Applied
T6323,01/12/24,cust_3664,ACC-13,2,430.0 GHS,Email,6,TRUE
T6324,18/04/25,cust_2951,acc-25,2,490.0 GHS,Organic,5,N
T6325,2024-08-31,C4080,Wig-STRA-16,2,13000.0 GHS,Organic,20,N
T6326,27-Aug-2024,C1946,ACC-12,1,158.0 GHS,Referral,4,N
T6327,2025-07-12,cust_3528,Wig-Short-10,3,988.26 USD,Organic,38,TRUE
T6328,01/07/24,cust_3328,Wig-Short-10,3,11400.0 GHS,Organic,44,N
T6329,05/11/24,cust_853,ACC-22,2,236.0 GHS,Referral,3,NULL
T6330,29-Jul-2024,C932,ACC-2,2,20533 NGN,Organic,6,N
T6331,14/01/25,cust_4282,Wig-UPART-28,3,29700.0 GHS,Organic,7,N
T6332,21/07/24,C5219,ACC-14,2,15600 NGN,Organic,3,N
T6333,10-Aug-2024,C3617,Wig-AFRO,2,7000.0 GHS,Referral,4,N
T6334,06-Dec-2024,C4789,Wig-RED-14,1,466666 NGN,Referral,6,TRUE
T6335,02/01/25,C1124,ACC-21,1,276.0 GHS,Organic,3,TRUE
T6336,30/09/24,cust_2837,acc-25,2,490.0 GHS,Organic,7,N
T6337,26-Apr-2025,C544,ACC-18,1,13.87 USD,Organic,6,N
T6338,09-Sep-2024,C772,Wig-HDShort,2,13000.0 GHS,Referral,24,N
T6339,20-Mar-2025,C5262,Wig-Tpart-12,2,7000.0 GHS,Organic,42,TRUE
T6340,08-Nov-2024,cust_2015,ACC-13,1,14333 NGN,Organic,5,N
T6341,14/06/25,C586,ACC-8,1,21.15 USD,Meta Paid,6,N
T6342,24-Mar-2025,C2422,ACC-10,1,227.0 GHS,Email,6,N
T6343,10/03/25,C3031,Wig-RED-14,1,7000.0 GHS,Organic,4,N
T6344,13-Sep-2025,C4770,ACC-1,1,263.0 GHS,Referral,3,N
T6345,10-Aug-2025,C4709,Wig-Tpart-12,1,3500.0 GHS,Google_Ads,5,N
T6346,2025-08-14,C5245,Wig-LUX-26,3,3166.02 USD,Meta Paid,43,N
T6347,24/01/25,C617,Wig-SWISS-18,2,8400.0 GHS,Organic,29,N
T6348,11/08/24,cust_1692,acc-25,1,16333 NGN,Email,7,N
T6349,2025-05-28,C5420,ACC-22,3,354.0 GHS,Google_Ads,7,N
T6350,24/07/25,cust_1235,Wig-OMBRE-22,3,20400.0 GHS,Google_Ads,38,N
T6351,18-Aug-2025,C3215,Wig-WAVY-20,2,16000.0 GHS,Meta Paid,41,N
T6352,2024-10-17,C3994,ACC-23,1,224.0 GHS,Organic,4,TRUE
T6353,2025-10-05,cust_1468,ACC-1,3,789.0 GHS,Organic,7,N
T6354,2025-10-21,C3293,ACC-3,2,608.0 GHS,Email,3,N
T6355,18/05/25,cust_1323,Wig-HDC-24,1,633333 NGN,Google_Ads,34,N
T6356,22-Nov-2024,cust_4749,Wig-UPART-28,1,9900.0 GHS,Referral,7,N
T6357,09/10/25,C2848,ACC-2,3,462.0 GHS,Organic,5,N
T6358,05-Nov-2025,C5127,ACC-3,1,304.0 GHS,Organic,6,N
T6359,2025-08-30,cust_4507,ACC-12,3,31600 NGN,Google_Ads,6,Y
T6360,27-Jul-2025,C2482,Wig-Tpart-12,1,316.97 USD,Organic,5,N
T6361,2025-08-25,cust_4666,Wig-OMBRE-22,1,6800.0 GHS,Google_Ads,3,N
T6362,2025-02-28,cust_2318,ACC-7,1,291.0 GHS,Email,5,N
T6363,01/08/24,cust_1030,ACC-3,3,912.0 GHS,Referral,7,N
T6364,24-Dec-2024,C1677,Wig-CURL-32,1,14000.0 GHS,Email,37,N
T6365,2024-10-30,C2329,ACC-8,1,239.0 GHS,Email,3,N
T6366,30-Oct-2025,C1080,ACC-11,2,358.0 GHS,Email,4,N
T6367,2025-02-03,C3113,ACC-19,1,164.0 GHS,Email,4,N
T6368,2025-08-24,C2948,ACC-15,2,554.0 GHS,Organic,3,N
T6369,2025-10-27,cust_2838,ACC-3,2,608.0 GHS,Organic,7,N
T6370,2024-12-11,C1215,ACC-5,2,44.75 USD,Organic,7,NULL
T6371,2025-04-21,cust_2026,ACC-9,1,309.0 GHS,Organic,6,N
T6372,29/10/24,C3575,Wig-Bone-30,1,7800.0 GHS,Organic,24,N
T6373,2025-03-31,C2263,Wig-SWISS-18,3,1031.6 USD,Organic,4,Y
T6374,2025-07-11,cust_4935,ACC-13,3,645.0 GHS,Meta Paid,3,NULL
T6375,2025-02-28,cust_4974,ACC-6,1,119.0 GHS,Organic,6,N
T6376,11-Sep-2025,cust_3982,ACC-5,2,548.0 GHS,Referral,6,N
T6377,10/02/25,C958,ACC-11,2,358.0 GHS,Organic,3,N
T6378,2025-05-30,C765,Wig-Short-10,2,686.0 USD,Meta Paid,3,N
T6379,04-Jun-2025,cust_3875,ACC-14,1,117.0 GHS,Meta Paid,3,N
T6380,24-Mar-2025,C4915,Wig-WAVY-20,2,16000.0 GHS,Organic,5,Y
T6381,2024-08-29,C2312,ACC-2,3,462.0 GHS,Organic,6,N
T6382,2024-11-22,C4560,ACC-2,2,308.0 GHS,Email,4,Y
T6383,30-Oct-2025,C4531,ACC-20,1,97.0 GHS,Referral,7,NULL
T6384,14-Aug-2025,C5465,acc-4,2,654.0 GHS,Meta Paid,3,N
T6385,29/05/25,cust_2090,ACC-18,1,12133 NGN,Google_Ads,7,N
T6386,31/01/25,C2851,Wig-STRA-16,1,6500.0 GHS,Organic,5,Y
T6387,21/07/24,cust_1728,ACC-19,1,10933 NGN,Organic,6,N
T6388,24/05/25,cust_1463,Wig-HDShort,1,6500.0 GHS,Meta Paid,6,TRUE
T6389,05-Oct-2025,C2575,Wig-AFRO,2,7000.0 GHS,Referral,21,N
T6390,2024-07-18,C5076,Wig-WAVY-20,3,24000.0 GHS,Organic,7,N
T6391,23-May-2025,cust_2117,acc-25,3,49000 NGN,Google_Ads,4,Y
T6392,19-Apr-2025,C656,ACC-3,1,304.0 GHS,Email,6,N
T6393,2025-03-06,C4619,ACC-10,1,227.0 GHS,Organic,3,NULL
T6394,2025-08-31,C3560,ACC-6,3,23800 NGN,Google_Ads,5,NULL
T6395,25-May-2025,cust_665,Wig-WAVY-20,3,1600000 NGN,Meta Paid,3,N
T6396,26-Jan-2025,cust_5367,ACC-1,1,17533 NGN,Organic,7,NULL
T6397,2025-05-21,cust_256,ACC-9,2,618.0 GHS,Google_Ads,3,N
T6398,25/09/24,C5960,Wig-Short-10,3,11400.0 GHS,Organic,4,NULL
T6399,2024-08-22,cust_1317,ACC-16,3,53.65 USD,Organic,7,N
T6400,2025-06-15,cust_2197,ACC-11,3,537.0 GHS,Meta Paid,6,N
T6401,2025-01-15,cust_2138,ACC-6,2,238.0 GHS,Organic,7,NULL
T6402,2024-12-20,C1722,ACC-10,2,30266 NGN,Organic,6,N
T6403,2024-08-25,C4865,ACC-9,1,309.0 GHS,Email,6,N
T6404,06/07/24,C1290,acc-25,2,490.0 GHS,Organic,5,Y
T6405,30-Mar-2025,cust_4403,ACC-8,1,15933 NGN,Organic,6,N
T6406,28/10/25,C4140,acc-25,3,735.0 GHS,Organic,3,N
T6407,10-Feb-2025,C55,ACC-7,1,19400 NGN,Organic,4,TRUE
T6408,06/08/25,cust_4489,ACC-9,1,309.0 GHS,Google_Ads,7,Y
T6409,05/07/24,C2948,ACC-2,2,308.0 GHS,Referral,7,N
T6410,24/02/25,C2029,Wig-OMBRE-22,3,1528.73 USD,Organic,5,TRUE
T6411,26/10/25,cust_597,ACC-9,3,80.12 USD,Organic,4,N
T6412,26-Oct-2025,cust_1175,ACC-23,1,224.0 GHS,Referral,3,N
T6413,20-Mar-2025,C2238,Wig-CURL-32,1,14000.0 GHS,Referral,36,N
T6414,2024-09-09,cust_4914,acc-25,3,735.0 GHS,Organic,5,N
T6415,12-Dec-2024,C5272,Wig-WAVY-20,1,8000.0 GHS,Organic,5,N
T6416,23-May-2025,C3335,Wig-Tpart-12,1,3500.0 GHS,Meta Paid,26,N
T6417,17-Jul-2025,C1182,ACC-5,3,822.0 GHS,Google_Ads,3,NULL
T6418,30-Aug-2025,cust_4278,ACC-3,1,304.0 GHS,Meta Paid,5,TRUE
T6419,2025-10-18,C4770,ACC-16,2,504.0 GHS,Organic,7,N
T6420,27/08/25,C4020,Wig-CURL-32,2,28000.0 GHS,Meta Paid,27,N
T6421,21/06/25,cust_913,acc-25,2,32666 NGN,Meta Paid,6,N
T6422,08/07/24,C2788,Wig-OMBRE-22,3,20400.0 GHS,Referral,7,N
T6423,30/10/25,C5032,acc-4,1,327.0 GHS,Email,6,N
T6424,18-Sep-2024,C4349,ACC-19,1,164.0 GHS,Organic,3,N
T6425,2025-08-18,cust_5409,ACC-17,1,194.0 GHS,Meta Paid,3,N
T6426,08-Jul-2024,C4848,acc-25,2,490.0 GHS,Organic,3,N
T6427,2025-02-11,cust_2789,ACC-17,2,388.0 GHS,Email,6,N
T6428,2025-10-21,C600,Wig-RED-14,1,7000.0 GHS,Organic,37,TRUE
T6429,2025-03-10,C4023,ACC-18,1,182.0 GHS,Organic,6,N
T6430,15-Aug-2025,cust_4426,acc-25,3,735.0 GHS,Meta Paid,4,N
T6431,16-Jun-2025,C477,ACC-3,1,304.0 GHS,Google_Ads,6,NULL
T6432,05/11/24,cust_4164,ACC-24,3,447.0 GHS,Organic,5,N
T6433,03-May-2025,C1726,ACC-8,1,20.47 USD,Organic,7,N
T6434,23/04/25,C3972,Wig-Bone-30,3,23400.0 GHS,Email,6,N
T6435,16-May-2025,C290,ACC-3,3,912.0 GHS,Google_Ads,7,N
T6436,22/12/24,C4108,ACC-5,1,274.0 GHS,Organic,3,N
T6437,2024-12-03,cust_1340,ACC-18,3,546.0 GHS,Referral,5,N
T6438,2024-08-04,cust_1915,ACC-13,2,430.0 GHS,Email,4,N
T6439,01/12/24,C3684,Wig-SWISS-18,2,8400.0 GHS,Organic,33,N
T6440,13-Jan-2025,C2580,Wig-AFRO,3,824.56 USD,Organic,6,NULL
T6441,29-Oct-2024,cust_2212,ACC-20,1,97.0 GHS,Organic,5,N
T6442,23/08/25,C4200,ACC-9,1,20600 NGN,Meta Paid,5,NULL
T6443,07/08/24,cust_2525,Wig-LUX-26,2,1666666 NGN,Referral,41,N
T6444,27/06/25,cust_4582,ACC-13,2,430.0 GHS,Meta Paid,3,N
T6445,26/06/25,C3240,Wig-OMBRE-22,2,13600.0 GHS,Meta Paid,34,N
T6446,26/04/25,C3823,Wig-CURL-32,3,42000.0 GHS,Organic,40,N
T6447,2025-02-09,cust_1665,ACC-3,2,608.0 GHS,Organic,5,N
T6448,15/09/24,C5474,ACC-8,3,717.0 GHS,Organic,5,N
T6449,08-Sep-2025,cust_3989,ACC-19,3,492.0 GHS,Referral,6,Y
T6450,21-Mar-2025,C3529,ACC-12,-1,-158.0 GHS,Organic,7,N
T6451,2025-03-20,cust_5485,Wig-OMBRE-22,3,20400.0 GHS,Email,24,Y
T6452,01/08/24,C4846,ACC-11,2,25.35 USD,Email,5,N
T6453,10/07/24,C4180,Wig-STRA-16,3,19500.0 GHS,Email,31,N
T6454,2025-08-23,cust_1394,ACC-20,3,24.87 USD,Meta Paid,5,N
T6455,10/11/24,C4485,Wig-RED-14,1,7000.0 GHS,Referral,6,N
T6456,13/10/24,C3329,Wig-Short-10,-1,-3800.0 GHS,Referral,3,N
T6457,21/08/25,C2827,ACC-5,2,548.0 GHS,Meta Paid,6,N
T6458,2025-04-26,C3066,ACC-11,1,179.0 GHS,Email,4,N
T6459,2025-04-02,cust_1363,Wig-BLOND-14,1,4500.0 GHS,Organic,26,NULL
T6460,26/10/25,cust_2646,Wig-Short-10,3,11400.0 GHS,Organic,5,N
T6461,08/04/25,cust_3473,ACC-19,1,10933 NGN,Organic,7,Y
T6462,26/03/25,C1331,Wig-OMBRE-22,2,13600.0 GHS,Email,5,N
T6463,2025-01-29,cust_3576,ACC-14,3,351.0 GHS,Organic,6,N
T6464,2025-02-09,cust_2160,ACC-16,2,504.0 GHS,Organic,5,N
T6465,2025-06-06,C2309,ACC-6,2,20.71 USD,Meta Paid,3,N
T6466,12/04/25,C4093,ACC-6,3,23800 NGN,Organic,3,N
T6467,11-Feb-2025,cust_2218,ACC-5,3,822.0 GHS,Organic,5,N
T6468,05-May-2025,cust_2674,Wig-HDC-24,1,811.83 USD,Meta Paid,5,N
T6469,2025-09-12,cust_3834,ACC-8,2,478.0 GHS,Organic,3,TRUE
T6470,2024-10-02,cust_4962,ACC-1,2,526.0 GHS,Organic,4,N
T6471,15/08/24,cust_3048,ACC-24,1,149.0 GHS,Organic,3,Y
T6472,2025-01-17,C4035,Wig-WAVY-20,2,16000.0 GHS,Organic,44,N
T6473,07/04/25,C2144,Wig-UPART-28,1,9900.0 GHS,Organic,33,N
T6474,12-Sep-2024,C2507,ACC-24,3,447.0 GHS,Organic,6,N
T6475,09/12/24,cust_266,ACC-5,1,274.0 GHS,Referral,7,TRUE
T6476,2025-05-26,C5302,ACC-19,3,492.0 GHS,Google_Ads,4,N
T6477,14-May-2025,C5413,ACC-19,3,492.0 GHS,Google_Ads,3,NULL
T6478,06/03/25,cust_3790,ACC-21,2,552.0 GHS,Organic,5,N
T6479,2024-08-17,cust_4759,ACC-18,2,364.0 GHS,Referral,3,N
T6480,07-Feb-2025,cust_2905,ACC-7,1,23.43 USD,Organic,3,N
T6481,09-Aug-2025,cust_69,ACC-5,2,548.0 GHS,Meta Paid,5,N
T6482,2025-02-22,cust_3623,ACC-21,3,828.0 GHS,Organic,7,Y
T6483,2025-07-15,cust_228,Wig-WAVY-20,2,16000.0 GHS,Meta Paid,25,N
T6484,07-Oct-2025,cust_47,acc-4,3,981.0 GHS,Organic,5,N
T6485,09/08/24,C1982,Wig-LUX-26,1,833333 NGN,Referral,6,NULL
T6486,2025-06-19,cust_4122,acc-25,3,62.79 USD,Meta Paid,3,Y
T6487,12-May-2025,cust_3926,ACC-21,2,552.0 GHS,Google_Ads,3,NULL
T6488,30/01/25,cust_1954,ACC-15,3,66.26 USD,Organic,3,N
T6489,31/10/24,C4872,ACC-6,2,238.0 GHS,Organic,7,N
T6490,20-Apr-2025,cust_3578,ACC-8,2,36.23 USD,Email,6,N
T6491,27/10/25,C3557,Wig-Short-10,3,11400.0 GHS,Organic,6,Y
T6492,2024-09-30,C3582,ACC-3,3,60800 NGN,Email,5,TRUE
T6493,2024-09-24,cust_1379,Wig-HDC-24,1,634.49 USD,Organic,6,N
T6494,27-Jan-2025,cust_2054,ACC-8,2,478.0 GHS,Organic,6,N
T6495,13/11/24,C4231,ACC-8,1,239.0 GHS,Referral,3,N
T6496,2025-04-03,C4600,ACC-2,3,36.88 USD,Email,7,N
T6497,23/10/24,cust_4951,ACC-14,3,351.0 GHS,Referral,3,Y
T6498,2024-12-16,cust_4251,ACC-17,1,15.71 USD,Email,5,TRUE
T6499,21-Sep-2024,cust_3830,Wig-OMBRE-22,3,20400.0 GHS,Organic,40,N
T6500,2024-11-01,C4417,ACC-11,1,179.0 GHS,Email,7,N
T6501,2025-03-02,cust_635,ACC-22,3,354.0 GHS,Referral,3,N
T6502,03/04/25,cust_1975,Wig-LUX-26,1,12500.0 GHS,Referral,7,N
T6503,18/07/24,cust_1818,Wig-LUX-26,2,25000.0 GHS,Email,42,N
T6504,05-Oct-2024,cust_2160,ACC-14,2,234.0 GHS,Organic,4,TRUE
T6505,07/08/25,cust_1737,Wig-SWISS-18,1,4200.0 GHS,Meta Paid,7,N
T6506,2025-02-23,cust_4885,ACC-7,3,58200 NGN,Organic,4,N
T6507,05/11/24,cust_3050,Wig-BLOND-14,3,13500.0 GHS,Email,3,N
T6508,2024-07-23,cust_4063,Wig-STRA-16,1,422.85 USD,Referral,7,N
T6509,2025-04-27,cust_3134,ACC-24,3,447.0 GHS,Organic,3,N
T6510,28-Aug-2024,C4502,Wig-Bone-30,3,23400.0 GHS,Organic,6,N
T6511,24/07/25,cust_2391,Wig-HDC-24,2,1633.94 USD,Meta Paid,7,Y
T6512,29-May-2025,C1049,acc-4,3,981.0 GHS,Meta Paid,4,N
T6513,2025-04-10,cust_331,ACC-3,2,608.0 GHS,Referral,6,N
T6514,2025-10-17,C430,ACC-15,1,23.12 USD,Referral,5,N
T6515,29-Apr-2025,C1776,Wig-STRA-16,3,19500.0 GHS,Organic,36,TRUE
T6516,13/02/25,C1039,ACC-11,3,537.0 GHS,Organic,5,N
T6517,2025-06-07,C4740,ACC-11,2,358.0 GHS,Meta Paid,3,N
T6518,04/04/25,cust_2124,Wig-LUX-26,1,12500.0 GHS,Email,6,N
T6519,2025-04-21,cust_5222,ACC-16,3,50400 NGN,Organic,3,N
T6520,30/10/24,C3057,ACC-15,3,54.7 USD,Organic,4,N
T6521,28-May-2025,C5153,acc-4,2,43600 NGN,Organic,7,NULL
T6522,07-Jul-2025,cust_2134,ACC-15,2,554.0 GHS,Organic,5,N
T6523,06-Sep-2024,C3776,ACC-2,3,462.0 GHS,Email,7,N
T6524,2025-10-30,cust_3133,Wig-Tpart-12,2,7000.0 GHS,Organic,35,N
T6525,2025-11-06,cust_3153,ACC-16,3,756.0 GHS,Organic,3,N
T6526,16/06/25,cust_2914,acc-4,2,654.0 GHS,Meta Paid,3,N
T6527,15-Dec-2024,cust_4927,ACC-21,1,276.0 GHS,Referral,3,N
T6528,2025-10-05,cust_2496,ACC-2,3,462.0 GHS,Organic,3,N
T6529,2025-03-10,cust_3770,Wig-Tpart-12,3,10500.0 GHS,Email,4,N
T6530,2025-09-09,cust_2449,ACC-1,1,263.0 GHS,Organic,6,Y
T6531,29/04/25,cust_1270,Wig-AFRO,2,7000.0 GHS,Organic,5,N
T6532,26/07/24,C1736,Wig-WAVY-20,1,8000.0 GHS,Organic,7,TRUE
T6533,2024-12-16,C1740,ACC-12,2,23.84 USD,Referral,4,N
T6534,07-Oct-2024,C3614,ACC-1,3,52.63 USD,Referral,7,N
T6535,07/11/25,C57,Wig-SWISS-18,3,840000 NGN,Referral,4,N
T6536,21/03/25,cust_1394,ACC-16,1,19.1 USD,Organic,3,N
T6537,12/11/24,cust_713,ACC-3,3,61.24 USD,Organic,6,N
T6538,2025-03-23,cust_2219,Wig-Tpart-12,2,7000.0 GHS,Organic,40,NULL
T6539,30-Nov-2024,C1512,ACC-3,2,608.0 GHS,Organic,6,N
T6540,2024-12-23,cust_146,ACC-12,1,158.0 GHS,Email,5,N
T6541,2025-08-24,C2542,ACC-24,1,13.52 USD,Meta Paid,3,N
T6542,30/03/25,cust_4946,ACC-2,1,154.0 GHS,Referral,3,N
T6543,2025-01-09,C811,Wig-RED-14,2,14000.0 GHS,Organic,31,N
T6544,08/02/25,C4213,Wig-Short-10,1,3800.0 GHS,Email,43,N
T6545,08/10/24,cust_2432,ACC-5,2,36533 NGN,Organic,4,N
T6546,27/10/25,C2360,ACC-11,3,537.0 GHS,Organic,6,N
T6547,31/03/25,cust_2466,Wig-Tpart-12,1,3500.0 GHS,Organic,5,N
T6548,23-Jun-2025,cust_3256,ACC-7,3,58200 NGN,Meta Paid,5,N
T6549,18/10/25,cust_1482,ACC-23,1,224.0 GHS,Organic,3,TRUE
T6550,2025-05-26,C2016,ACC-5,2,46.55 USD,Google_Ads,6,N
T6551,27-Jun-2025,C1307,Wig-RED-14,2,14000.0 GHS,Google_Ads,22,N
T6552,15-Sep-2025,C153,Wig-BLOND-14,1,4500.0 GHS,Organic,37,N
T6553,31/05/25,C3999,ACC-3,1,304.0 GHS,Meta Paid,5,N
T6554,2025-07-27,C970,ACC-23,1,224.0 GHS,Meta Paid,4,N
T6555,06-Jul-2024,C2417,Wig-AFRO,3,10500.0 GHS,Email,6,N
T6556,2025-02-25,cust_388,ACC-1,3,789.0 GHS,Referral,5,N
T6557,2025-03-14,cust_227,Wig-SWISS-18,3,12600.0 GHS,Organic,6,N
T6558,19-Jun-2025,C4784,acc-4,1,327.0 GHS,Meta Paid,4,N
T6559,12/11/24,C4810,ACC-3,3,912.0 GHS,Email,4,Y
T6560,03/11/25,C4032,Wig-WAVY-20,2,16000.0 GHS,Organic,4,N
T6561,21/11/24,C4678,Wig-AFRO,3,747.37 USD,Referral,4,N
T6562,2025-03-05,cust_468,ACC-15,2,554.0 GHS,Organic,6,N
T6563,10/11/24,C3485,ACC-23,2,448.0 GHS,Email,6,N
T6564,27-May-2025,cust_1650,ACC-3,1,304.0 GHS,Google_Ads,4,NULL
T6565,23/01/25,C4871,ACC-20,2,12933 NGN,Email,5,N
T6566,02/11/24,C55,ACC-13,1,14333 NGN,Referral,3,N
T6567,06-Mar-2025,C1264,Wig-HDC-24,1,9500.0 GHS,Organic,21,TRUE
T6568,2025-08-06,cust_4825,ACC-3,3,912.0 GHS,Google_Ads,4,TRUE
T6569,05/09/25,C3835,acc-25,1,245.0 GHS,Email,4,N
T6570,17/10/24,C3819,Wig-UPART-28,2,1365.78 USD,Organic,26,N
T6571,23/10/25,C4213,ACC-2,3,462.0 GHS,Organic,7,N
T6572,14-Dec-2024,C1843,ACC-16,1,20.92 USD,Referral,5,N
T6573,20-Mar-2025,cust_3187,Wig-RED-14,1,7000.0 GHS,Referral,44,N
T6574,11/07/25,C243,ACC-9,2,618.0 GHS,Meta Paid,7,TRUE
T6575,20/03/25,cust_3893,ACC-21,3,828.0 GHS,Organic,6,N
T6576,25/08/24,cust_2785,Wig-STRA-16,2,13000.0 GHS,Organic,32,N
T6577,2024-08-16,cust_2259,ACC-18,1,11.8 USD,Referral,6,N
T6578,23/09/25,cust_4943,ACC-16,1,21.57 USD,Referral,3,N
T6579,08/05/25,cust_2695,Wig-Short-10,3,11400.0 GHS,Google_Ads,7,N
T6580,12-Jan-2025,C766,Wig-HDShort,-1,-6500.0 GHS,Email,5,N
T6581,06-Jul-2024,cust_2953,ACC-23,3,672.0 GHS,Email,3,N
T6582,30/03/25,cust_3471,Wig-BLOND-14,2,600000 NGN,Organic,6,N
T6583,14-Dec-2024,C1688,ACC-14,2,234.0 GHS,Organic,6,N
T6584,2025-05-03,cust_4713,ACC-10,2,40.36 USD,Organic,7,N
T6585,25-Mar-2025,C3022,acc-25,3,735.0 GHS,Organic,6,N
T6586,16/07/24,C6,ACC-16,1,17.28 USD,Referral,3,N
T6587,15-Jun-2025,C1924,ACC-18,3,36400 NGN,Meta Paid,3,N
T6588,07/09/25,cust_84,ACC-19,1,164.0 GHS,Email,6,N
T6589,28-Aug-2025,cust_2909,Wig-Bone-30,1,7800.0 GHS,Meta Paid,5,TRUE
T6590,24-May-2025,C2733,ACC-12,3,474.0 GHS,Meta Paid,7,N
T6591,2025-07-12,C1020,Wig-OMBRE-22,1,6800.0 GHS,Organic,25,N
T6592,02/02/25,cust_4924,ACC-7,2,38800 NGN,Referral,5,N
T6593,2024-11-20,C4810,Wig-Tpart-12,3,10500.0 GHS,Email,38,Y
T6594,15-Jul-2024,cust_1519,ACC-8,1,239.0 GHS,Email,4,N
T6595,16/11/24,C4482,acc-25,1,245.0 GHS,Organic,7,N
T6596,13-Nov-2024,C4264,ACC-18,2,25.27 USD,Organic,5,N
T6597,2025-02-24,C1757,acc-4,3,981.0 GHS,Referral,5,N
T6598,03/11/25,cust_3189,ACC-21,1,18400 NGN,Email,4,N
T6599,2025-02-01,cust_4258,ACC-10,3,681.0 GHS,Organic,5,N
T6600,28/10/24,cust_2295,ACC-16,1,252.0 GHS,Organic,5,N
T6601,26-Sep-2025,C30,ACC-23,3,672.0 GHS,Organic,3,NULL
T6602,28/09/24,C1953,ACC-14,2,15.62 USD,Organic,4,N
T6603,07/10/24,cust_4615,Wig-OMBRE-22,2,13600.0 GHS,Organic,27,N
T6604,2025-01-08,C697,ACC-7,1,291.0 GHS,Organic,5,N
T6605,2025-02-19,C866,ACC-13,3,50.92 USD,Referral,7,N
T6606,15-Aug-2025,cust_3322,ACC-1,2,35066 NGN,Organic,7,N
T6607,23/06/25,cust_4392,Wig-STRA-16,1,6500.0 GHS,Google_Ads,6,N
T6608,2025-07-19,cust_514,ACC-3,1,304.0 GHS,Meta Paid,5,N
T6609,07-Jul-2024,C282,Wig-HDC-24,1,9500.0 GHS,Organic,6,TRUE
T6610,06-Aug-2025,C3398,Wig-OMBRE-22,2,13600.0 GHS,Meta Paid,3,Y
T6611,27/04/25,cust_3044,ACC-19,2,328.0 GHS,Organic,5,N
T6612,2024-12-08,C4213,ACC-7,3,873.0 GHS,Organic,6,N
T6613,21-Jun-2025,C2716,acc-25,2,490.0 GHS,Google_Ads,4,NULL
T6614,2025-03-13,C3129,ACC-20,3,24.06 USD,Organic,5,N
T6615,2025-11-03,cust_4680,Wig-STRA-16,2,1135.96 USD,Referral,36,N
T6616,2025-04-04,cust_1442,Wig-Tpart-12,2,7000.0 GHS,Organic,29,N
T6617,16/07/25,cust_2248,ACC-5,1,274.0 GHS,Google_Ads,7,N
T6618,04-Feb-2025,cust_1882,ACC-20,2,12933 NGN,Organic,4,N
T6619,2025-04-09,C3928,Wig-RED-14,1,7000.0 GHS,Referral,6,N
T6620,29/10/25,C4140,Wig-RED-14,3,21000.0 GHS,Organic,7,N
T6621,31/05/25,cust_2676,Wig-SWISS-18,1,4200.0 GHS,Meta Paid,20,N
T6622,16-Jan-2025,C3430,acc-4,3,73.0 USD,Organic,6,NULL
T6623,2025-04-04,cust_4578,Wig-CURL-32,3,3470.52 USD,Referral,6,N
T6624,07/07/24,C346,ACC-14,3,351.0 GHS,Referral,4,Y
T6625,2025-10-22,C630,ACC-2,3,462.0 GHS,Email,7,N
T6626,13-Feb-2025,C4876,Wig-Tpart-12,-1,-3500.0 GHS,Organic,7,N
T6627,23-Dec-2024,C1225,ACC-5,2,548.0 GHS,Organic,7,N
T6628,27-Sep-2025,C1128,ACC-6,1,119.0 GHS,Organic,4,TRUE
T6629,2024-07-06,C2566,ACC-21,1,276.0 GHS,Referral,4,N
T6630,14-Sep-2024,cust_462,ACC-13,1,215.0 GHS,Organic,5,N
T6631,11-Jul-2024,C5166,ACC-14,2,234.0 GHS,Organic,3,N
T6632,03/11/25,C1833,ACC-8,1,239.0 GHS,Email,3,N
T6633,20/09/25,C577,ACC-24,3,37.46 USD,Email,3,N
T6634,24/10/25,cust_1938,ACC-15,3,831.0 GHS,Organic,3,N
T6635,20-Sep-2024,cust_3424,Wig-HDShort,2,854.27 USD,Organic,6,NULL
T6636,13/09/24,cust_1109,Wig-SWISS-18,3,12600.0 GHS,Email,35,N
T6637,2025-10-28,C4440,Wig-STRA-16,1,589.4 USD,Organic,5,N
T6638,19-Nov-2024,C3737,ACC-20,2,194.0 GHS,Email,3,N
T6639,21-Mar-2025,C542,Wig-LUX-26,1,12500.0 GHS,Organic,7,N
T6640,2025-06-13,cust_335,Wig-SWISS-18,2,8400.0 GHS,Meta Paid,3,Y
T6641,20/02/25,cust_42,Wig-OMBRE-22,3,20400.0 GHS,Organic,4,N
T6642,29/05/25,cust_2447,ACC-3,1,304.0 GHS,Google_Ads,4,N
T6643,09-Jul-2024,C1133,ACC-10,1,227.0 GHS,Email,4,N
T6644,09/07/25,C5413,Wig-HDC-24,3,28500.0 GHS,Meta Paid,7,N
T6645,25/08/25,C3990,Wig-AFRO,3,10500.0 GHS,Google_Ads,37,N
T6646,05-Jul-2024,C3689,Wig-HDShort,3,1300000 NGN,Email,38,N
T6647,02-Nov-2025,C4238,ACC-20,2,194.0 GHS,Referral,7,Y
T6648,2025-09-06,C2873,Wig-UPART-28,1,9900.0 GHS,Organic,5,TRUE
T6649,2024-07-07,C1566,ACC-10,3,681.0 GHS,Email,7,N
T6650,2024-09-20,C2680,ACC-24,3,447.0 GHS,Organic,6,N
